hypothesis,statement,test,statistic,p_value,effect_size,effect_measure,interpretation,outcome
H1,Subscription rate differs by age band,Chi-square test of independence,1187.53,1.35e-258,0.17,Cramér's V,small,Supported
H2,Subscription rate does not differ by education level,Chi-square test of independence,175.8,2.65e-35,0.067,Cramér's V,negligible,Not supported
H3,Subscription rate differs by housing loan status,Chi-square test of independence,5.45,0.0196,0.012,Cramér's V,negligible,Supported
H4,Number of contacts differs between subscribers and non-subscribers,Mann-Whitney U,75391970.0,3.63e-38,0.11,Rank-biserial r,see note,Supported
H5,Call duration cannot serve as a legitimate predictor (leakage),Mann-Whitney U and point-biserial correlation,138721931.0,0.00e+00,-0.637,Rank-biserial r,leakage confirmed,Supported
